track_id,track_name,artist(s)_name,artist_count,released_year,in_spotify_charts,streams,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,total_playlists,bpm_category,danceability_%_category,valence_%_category,energy_%_category,acousticness_%_category,instrumentalness_%_category,liveness_%_category,speechiness_%_category
7412049,El Merengue,"Marshmello, Manuel Turizo",2,2023,44,223633238,75,11,124,78,70,68,3,1,11,4,2304,medium,high,high,medium,low,high,medium,low
8408827,Someone You Loved,Lewis Capaldi,1,2018,53,2887241814,125,0,110,50,45,41,75,0,11,3,20076,medium,low,medium,low,high,low,medium,low
3331159,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,43,1440757818,120,26,92,91,43,71,9,0,9,8,9115,low,high,medium,medium,medium,low,low,medium
7159285,Makeba,Jain,1,2015,53,165484133,148,22,116,82,40,66,39,51,25,7,8913,medium,high,medium,medium,medium,high,high,medium
8274842,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,50,58054811,52,0,129,63,84,82,70,8,9,7,650,medium,medium,high,high,high,high,low,medium
8499304,Fast Car,Luke Combs,1,2023,12,157058870,97,0,98,71,67,60,19,0,12,3,1538,low,medium,medium,medium,medium,low,medium,low
4148996,What It Is (Solo Version),Doechii,1,2023,25,95131998,76,0,172,74,76,76,6,0,10,9,857,high,medium,high,medium,low,low,low,medium
5560446,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,38,250305248,89,5,150,68,14,76,4,0,10,4,2019,high,medium,low,medium,low,low,low,low
5821993,Don���t Bl,Taylor Swift,1,2017,23,685032533,45,0,136,62,19,53,11,0,6,4,4894,medium,medium,low,low,medium,low,low,low
7179210,Still With You,Jung Kook,1,2020,39,38411956,107,0,88,53,34,47,9,0,83,4,41,low,low,medium,low,medium,low,high,low
7083603,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,23,144565150,145,2,143,83,69,44,15,0,10,33,2313,high,high,medium,low,medium,low,low,high
5243367,Say Yes To Heaven,Lana Del Rey,1,2023,46,127567540,105,1,100,49,17,35,71,9,11,3,2112,medium,low,low,low,high,high,medium,low
4311407,Snooze,SZA,1,2022,25,399686758,156,1,143,56,39,55,14,0,11,13,2939,high,low,medium,medium,medium,low,medium,high
1216337,Summertime Sadness,Lana Del Rey,1,2011,52,983637508,143,3,112,56,24,66,7,0,12,3,22054,medium,low,low,medium,medium,low,medium,low
8365464,Take Two,BTS,1,2023,47,118482347,106,4,93,62,57,59,3,0,38,3,719,low,medium,medium,medium,low,low,high,low
1729982,Lover,Taylor Swift,1,2012,23,882831184,110,0,206,43,50,55,50,0,15,10,8771,high,low,medium,medium,high,low,medium,medium
2540650,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,58,286400165,119,2,88,68,17,71,15,0,11,5,2146,low,medium,low,medium,medium,low,medium,medium
2619841,Chemical,Post Malone,1,2023,39,172825906,91,3,170,50,37,90,0,0,12,5,2643,high,low,medium,high,low,low,medium,medium
2394886,Mockingbird,Eminem,1,2004,61,1241559043,98,5,84,62,24,67,21,0,13,28,15428,low,medium,low,medium,medium,low,medium,high
4928987,New Jeans,NewJeans,1,2023,35,29562220,166,4,134,81,53,72,51,0,12,5,89,medium,high,medium,medium,high,low,medium,medium
2698226,Primera Cita,Carin Leon,1,2022,27,77309611,40,6,158,54,50,40,61,0,10,6,278,high,low,medium,low,high,low,low,medium
8797570,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,52,1605224506,135,37,116,80,92,80,4,0,10,3,22515,medium,high,high,high,low,low,low,low
4495422,Dandelions,Ruth B.,1,2017,21,1116995633,100,1,117,61,45,69,2,0,9,3,3523,medium,medium,medium,medium,low,low,low,low
2480109,Bones,Imagine Dragons,1,2021,44,838079900,108,17,114,77,65,72,2,0,7,5,4623,medium,medium,medium,medium,low,low,low,medium
4350729,Set Fire to the Rain,Adele,1,2011,43,1163620694,112,5,108,61,47,68,0,0,13,3,16990,medium,medium,medium,medium,low,low,medium,low
7811952,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,32,1093605526,113,0,144,74,37,53,7,0,21,10,27556,high,medium,medium,low,medium,low,medium,medium
3381390,Tak Segampang Itu,Anggi Marito,1,2022,6,179659294,6,0,130,51,18,44,76,0,11,3,220,medium,low,low,low,high,low,medium,low
3225408,LAGUNAS,"Jasiel Nu��ez, Peso P",2,2023,18,39058561,106,2,116,77,79,62,33,1,15,3,64,medium,medium,high,medium,medium,high,medium,low
8943060,Mine (Taylor's Version),Taylor Swift,1,2023,15,36912123,52,1,121,65,49,78,0,0,17,4,126,medium,medium,medium,high,low,low,medium,low
8965193,Everybody Wants To Rule The World,Tears For Fears,1,1985,25,1205951614,32,0,112,64,54,81,36,0,11,6,44507,medium,medium,medium,high,medium,low,medium,medium
8189388,No Role Modelz,J. Cole,1,2014,36,1791000570,65,0,100,70,47,52,30,0,6,33,21720,medium,medium,medium,low,medium,low,low,high
5667205,Tattoo,Loreen,1,2023,59,201660859,102,18,150,55,30,78,24,0,12,8,3207,high,low,low,high,medium,low,medium,medium
1696728,Rara Vez,"Taiu, Milo j",2,2023,38,248088961,23,3,120,84,96,71,18,0,34,17,936,medium,high,high,medium,medium,low,high,high
7264781,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be��",3,2023,34,90839753,58,8,127,82,89,85,4,0,23,6,1181,medium,high,high,high,low,low,medium,medium
6556428,august,Taylor Swift,1,2020,22,607123776,81,1,90,51,42,61,53,0,9,3,7410,low,low,medium,medium,high,low,low,low
1717593,LUNA,"Junior H, Peso Pluma",2,2023,11,55842345,117,1,128,75,79,63,33,0,15,4,228,medium,medium,high,medium,medium,low,medium,low
1549051,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,48,211050784,115,9,143,64,31,87,4,4,8,4,5527,high,medium,low,high,low,high,low,low
4890651,Nonsense,Sabrina Carpenter,1,2022,27,342897938,12,8,139,74,68,68,3,0,26,4,2453,medium,medium,medium,medium,low,low,high,low
8110201,Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,26,2762,110,9,162,49,78,64,19,0,11,4,805,high,low,high,medium,medium,low,medium,low
3739768,Por las Noches,Peso Pluma,1,2021,24,330346424,116,3,92,81,39,60,31,0,7,3,469,low,high,medium,medium,medium,low,low,low
7783887,Feliz Cumplea��os Fe,Feid,1,2022,38,601863821,69,4,95,87,57,55,10,0,29,7,3527,low,high,medium,medium,medium,low,high,medium
3605651,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,52,1953533826,44,2,146,63,88,93,3,0,10,8,12826,high,medium,high,high,low,low,low,medium
3869741,Watermelon Sugar,Harry Styles,1,2019,34,2322580122,115,12,95,55,56,82,12,0,34,5,23564,low,low,medium,high,medium,low,high,medium
4826716,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,30,2355719893,96,2,115,35,12,30,93,0,10,3,16331,medium,low,low,low,high,low,low,low
8262356,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,32,66902503,59,5,128,78,59,65,10,0,26,5,928,medium,high,medium,medium,medium,low,high,medium
1121286,Queencard,(G)I-DLE,1,2023,33,96273746,126,0,130,82,69,83,3,0,27,5,468,medium,high,medium,high,low,low,high,medium
